name	type	purchase_stage	purchase_amount	purchase_volume	last_purchase_date	consult_count
학교 보건수업	초중고	구매	450000	150	2025-05-07	0
종로구정신건강복지센터	전문기관	구매	450000	150	2025-05-14	13
중1동행정복지센터	광역시도 및 중앙기관	구매	450000	150	2025-10-29	0
한화큐셀 진천사업장 건강관리실	산업보건	COLD	450000	150	2023-11-02	2
국민건강보험공단 서귀포지사	광역시도 및 중앙기관	COLD	433500	170	2024-05-14	22
경북기계공업고등학교	초중고	COLD	426700	220	2024-12-20	0
유성구중독관리통합지원센터	전문기관	COLD	420000	100	2025-03-07	4
한국나노마이스터고등학교	초중고	COLD	382500	150	2025-03-20	0
60사단 군사경찰대대	광역시도 및 중앙기관	COLD	371400	177	2022-10-27	0
상경중학교	초중고	구매	367200	120	2025-10-22	3
한국경마축산고등학교	초중고	구매	360000	100	2025-05-27	0
무주중학교	초중고	구매	360000	121	2025-05-12	0
청평고등학교	초중고	재구매	334000	72	2025-05-08	0
정선고등학교	초중고	구매	330000	110	2025-12-02	4
김제고등학교 보건실	초중고	COLD	330000	222	2022-11-14	0
군산고등학교	초중고	COLD	330000	202	2023-05-09	1
대구동구중독관리통합지원센터	전문기관	COLD	300000	100	2024-10-16	7
15사단 의무대대	광역시도 및 중앙기관	COLD	300000	100	2024-10-29	0
국군구리병원	광역시도 및 중앙기관	COLD	300000	100	2024-07-05	3
성남시중독관리통합지원센터	전문기관	COLD	300000	100	2025-03-05	4
온누리안과병원	산업보건	COLD	300000	100	2025-02-24	0
한화솔루션 큐셀 음성제2사업장 건강관리실	산업보건	COLD	300000	100	2023-11-02	4
대구동부중독관리통합지원센터	전문기관	COLD	300000	100	2022-05-27	1
사업장 건강증진프로그램	산업보건	COLD	294000	70	2025-03-05	11
이화여대 약학대학	전공교육	COLD	294000	70	2023-09-25	3
남해군보건소	보건소	구매	273000	100	2025-06-05	43
경상국립대학교	대학보건센터	구매	252000	315	Thu Aug 22 2024 00:00:00 GMT+0900 (한국 표준시)	0
서울여자대학교 금연	초중고	구매	248000	80	2025-11-21	0
서강대학교	대학보건센터	구매	240800	301	Tue Sep 13 2022 00:00:00 GMT+0900 (한국 표준시)	0
국립목포대학교	대학보건센터	구매	240000	300	Fri May 12 2023 00:00:00 GMT+0900 (한국 표준시)	0
중앙대학교(안성캠퍼스)	대학보건센터	COLD	240000	300	2023-12-12	0
김포시청	광역시도 및 중앙기관	구매	231000	55	2025-11-10	22
안성시정신건강복지센터	전문기관	구매	225000	100	2025-09-09	56
봉화군정신건강복지센터	전문기관	COLD	210000	50	2022-11-15	4
완산고등학교	초중고	구매	210000	50	2025-10-24	1
동대문구정신건강복지센터	전문기관	COLD	210000	50	2024-09-09	1
전주대학교	전공교육	COLD	210000	50	2022-11-15	1
동두천정신건강복지센터	전문기관	COLD	200000	60	2024-12-03	2
전주대학교 의과학대학 행정실	전공교육	COLD	189000	45	2023-05-30	3
한국건강관리협회 울산광역시지부	광역시도 및 중앙기관	구매	189000	45	2025-06-17	8
군포시정신건강복지센터	전문기관	COLD	189000	45	2023-06-14	1
부석중학교	초중고	COLD	172200	71	2023-08-24	0
춘성중학교	초중고	COLD	168000	40	2024-12-11	0
강원대학교	대학보건센터	COLD	160000	200	2022-05-10	0
강원대학교(삼척캠퍼스)	대학보건센터	COLD	160000	200	2022-05-10	0
줄포자동차공업고등학교	초중고	구매	150000	30	2025-05-19	2
성주군보건소	보건소	COLD	150000	50	2022-10-04	27
무풍고등학교	초중고	COLD	150000	30	2024-05-24	0
경상대예방의학교실	전공교육	COLD	148500	5	2024-08-22	2
고등학교 동아리 행사	초중고	COLD	147000	36	2024-12-31	9
국군서울지구병원	광역시도 및 중앙기관	COLD	147000	74	2024-11-13	6
국군춘천병원	광역시도 및 중앙기관	COLD	126000	40	2024-11-14	2
약학대학 학부실습 과정에 사용 예정	전공교육	구매	117600	40	2025-09-30	0
청주시서원보건소	보건소	구매	92000	20	2026-02-11	21
카프성모병원	광역시도 및 중앙기관	구매	84000	20	2025-05-08	1
순천향대학교	전공교육	구매	82000	60	Tue Jan 14 2025 00:00:00 GMT+0900 (한국 표준시)	2
한국건강관리협회	광역시도 및 중앙기관	구매	76400	20	2025-05-29	3
전남여자상업고등학교	초중고	구매	71400	20	2025-09-09	0
안양범계중학교	초중고	구매	35700	10	2025-09-16	0
가천대학교	대학보건센터	구매	32000	40	Tue Sep 30 2025 00:00:00 GMT+0900 (한국 표준시)	0
경복대학교	대학보건센터	구매	28800	36	Wed Oct 26 2022 00:00:00 GMT+0900 (한국 표준시)	0
이연화	전문기관	구매	12600	0	2026-03-27	0
조은요양병원	산업보건	구매	8400	2	2026-01-05	2
영주시정신건강복지센터	전문기관	인지	0	0	-	0
영천시정신건강복지센터	전문기관	인지	0	0	-	0
예천군정신건강복지센터	전문기관	인지	0	0	-	0
울릉군정신건강복지센터	전문기관	인지	0	0	-	0
울진군정신건강복지센터	전문기관	인지	0	0	-	0
의성군정신건강복지센터	전문기관	인지	0	0	-	0
청도군정신건강복지센터	전문기관	인지	0	0	-	0
청송군정신건강복지센터	전문기관	인지	0	0	-	0
칠곡군정신건강복지센터	전문기관	인지	0	0	-	0
